collection_priority,batch_id,gap_type,county,local_area,region_label,gics_sector,missing_fields,gics_industry_group,company_count,director_50_plus_count,director_55_plus_count,director_60_plus_count,director_65_plus_count,director_70_plus_count,source_note,source_url,source_date,approved_by,cro_address_count_url,cro_address_search_url,director_age_required,acceptance_rule,recommended_source,next_action
61,dublin-company-061,missing_row,Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+4&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+4&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
62,dublin-company-062,missing_row,Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+4&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+4&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
63,dublin-company-063,missing_row,Dublin,Dublin 4 / Ballsbridge,Dublin / Dublin 4 / Ballsbridge,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+4&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+4&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
64,dublin-company-064,missing_row,Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+6&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+6&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
65,dublin-company-065,missing_row,Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+6&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+6&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
66,dublin-company-066,missing_row,Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+6&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+6&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
67,dublin-company-067,missing_row,Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+6&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+6&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
68,dublin-company-068,missing_row,Dublin,Dublin 6 / Rathmines,Dublin / Dublin 6 / Rathmines,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+6&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+6&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
69,dublin-company-069,missing_row,Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+8&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+8&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
70,dublin-company-070,missing_row,Dublin,Dublin 8 / Liberties,Dublin / Dublin 8 / Liberties,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dublin+8&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dublin+8&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
