collection_priority,batch_id,gap_type,county,local_area,region_label,gics_sector,missing_fields,gics_industry_group,company_count,director_50_plus_count,director_55_plus_count,director_60_plus_count,director_65_plus_count,director_70_plus_count,source_note,source_url,source_date,approved_by,cro_address_count_url,cro_address_search_url,director_age_required,acceptance_rule,recommended_source,next_action
1,galway-company-001,missing_row,Galway,Galway City,Galway / Galway City,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
2,galway-company-002,missing_row,Galway,Galway City,Galway / Galway City,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
3,galway-company-003,missing_row,Galway,Galway City,Galway / Galway City,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
4,galway-company-004,missing_row,Galway,Galway City,Galway / Galway City,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
5,galway-company-005,missing_row,Galway,Galway City,Galway / Galway City,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Galway+City&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Galway+City&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
6,galway-company-006,missing_row,Galway,Salthill,Galway / Salthill,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
7,galway-company-007,missing_row,Galway,Salthill,Galway / Salthill,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
8,galway-company-008,missing_row,Galway,Salthill,Galway / Salthill,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
9,galway-company-009,missing_row,Galway,Salthill,Galway / Salthill,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
10,galway-company-010,missing_row,Galway,Salthill,Galway / Salthill,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Salthill%2C+Galway&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Salthill%2C+Galway&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
